11,H30-0400
11,H2269000
11,H2280600
11,H---0100
11,----0010
11,F70-0400
11,F65-0400
11,F---0100
11,F4--0210
11,F48-0400
11,F46-0420
11,F46-0400
11,F45-0400
11,F4380600
11,F44-0400
11,F4480600
11,F24-0400
24,M12-0300
24,M1144600
24,M1--0160
24,M1--0161
24,M10-0300
24,M1034000
24,L---0060
24,L63-0300
24,L5--0190
24,L---0070
24,L46-0300
24,K7--0260
24,K6814000
24,K---0090
24,K65-0320
24,K65-0310
24,K6--0250
24,K63-0300
24,K6--0240
24,K56-0300
24,----0000
24,K44-0300
24,K43-0310
24,K42-0300
24,K4194000
24,H41-0410
24,F41-0400
27,U2560500
27,U2420520
27,U2310520
27,V24-0400
27,V1010500
27,U3450500
27,U34-0400
27,U3220500
27,U30-0400
27,U26-0400
27,U2--0200
27,U2340500
27,U2210500
27,U---0000
27,U13-0400
27,K4094000
27,----0000
27,K---0080
27,K19-0300
27,K1764000
27,K17-0310
27,K16-0300
27,K1--0180
27,K13-0300
27,K12-0310
27,K10-0300
27,F3350600
27,F32-0400
27,F31-0400
27,F3110600
27,F3531000
27,F3--0200
27,F04-0400
27,F0406000
27,----0010
28,M31-0310
28,M0334000
28,M0--0150
28,M---0060
28,I9--0200
28,I90-0400
28,I8--0200
28,I8040600
28,I8004000
28,I71-0400
28,I7--0200
28,I63-0400
28,I52-0400
28,I4310600
28,I24-0400
28,I23-0400
28,I2129000
28,I21-0400
28,I13-0400
28,I14-0400
28,I0--0200
28,H61-0400
28,H6110600
28,G7--0200
28,G2--0200
28,H5130600
28,H5040600
28,H43-0400
28,H4--0200
28,H32-0400
28,H3249000
28,H3239000
28,H3109000
28,----0010
32,H2130600
32,H21-0400
32,H20-0420
32,H1--0200
32,H01-0410
32,H02-0400
32,H2258000
32,H---0100
32,H2020600
32,H0030600
32,H0010600
32,F61-0400
32,E6490830
32,E6450800
32,E6420650
32,E6400600
32,E6380600
32,E6--009-
32,E6---140
32,E4100600
32,E4030570
32,E5500570
32,E5400650
32,E5100570
32,E3660600
32,E3--0120
32,E1560600
32,E2--0110
32,E1760600
32,E1280600
32,D0200600
32,D0130700
32,D0--022-
32,E1820700
44,U0710500
44,U0440500
44,U02-0400
44,U---0000
44,U0040500
44,H15-0400
44,H13-0410
44,H1181001
44,H11-0400
44,H1360600
44,H1--0200
44,H13-0400
44,H1220600
44,H01-0400
44,F65-0400
44,F6090600
44,F---0100
44,F6070600
44,F5--0200
44,F58-0400
44,F51-0400
44,F53-0400
44,F3427000
44,F12-0400
44,F11-0400
44,F1--0200
44,F15-0400
44,F1510600
44,----0010
44,F2040600
44,F08-0400
44,F0520600
44,B---0000
44,B73-0200
44,B71-0200
44,B7050480
44,B6--0100
44,B55-0200
44,B51-0200
44,B5000300
44,B4--0100
44,B4620300
44,B43-0200
44,B4230430
44,B4210300
44,B4120350
44,B4110300
44,B4010300
44,B2110300
44,B12-0200
44,A9950300
44,A9--0120
44,A93-0210
44,A91-0200
44,A9--0100
44,A8920300
44,A8880300
44,A---0060
44,A8850300
44,A8830300
44,A8--0100
44,A7--0100
44,A76-0200
44,A6--0100
44,A68-0200
44,A6--0120
44,A6--0110
44,A62-0200
44,A54-0200
44,A5--0100
44,A4330300
44,A4170300
44,A38-0200
44,A3--0110
44,A36-0210
44,A3--0100
44,A34-0200
44,A32-0200
44,A---0030
44,A29-0200
44,A2--0110
44,A26-0200
44,A2550630
44,A25-0200
44,A2220660
44,A2--0100
44,A2020300
44,A15-0200
44,A14-0200
44,A12-0200
44,A11-0200
44,A---0000
44,A0260340
44,A02-0200
52,M0574000
52,J79-0300
52,J78-0300
52,N31-0300
52,N3--0160
52,N2024000
52,M6354000
52,M7--0240
52,----0000
52,M5--0200
52,M4--0190
52,M3--0180
52,M---0090
52,M33-0300
52,M32-0310
52,M31-0300
52,M06-0300
52,M05-0300
52,M---0060
52,M0--0150
52,M02-0300
52,M0124000
52,M1--0160
52,M14-0300
52,M1254000
52,M1215500
52,M12-0300
52,L92-0300
52,L8--0210
53,J---0060
53,J7824000
53,J76-0300
53,J7214000
53,J7114000
53,J8--0240
53,J84-0300
53,J8214000
53,J83-0310
53,J8--0230
53,J5--0210
53,J56-0300
53,J5524000
53,J5--0220
53,J4--0200
53,J48-0300
53,J4224000
53,J4124000
53,J3834900
53,J3624000
53,J3--0180
53,J3514000
53,J34-0300
53,J2314000
53,J22-0300
53,J2034000
53,J1--0170
53,J13-0300
53,J1114000
53,J0--0160
53,J0216200
53,J0144000
53,J0--0150
75,Q13-0400
75,Q---0000
75,Q23-0400
75,Q3--0250
75,Q---0150
75,Q7--0250
75,Q8--0250
75,Q90-0400
75,S40-0430
75,S32-0400
75,S21-0400
75,S2--0250
75,S1140500
75,O6420540
75,O6720650
75,O6--0290
75,O---0000
75,O---0150
75,O9--0250
75,O9380500
75,P07-0400
75,P1580500
75,P---0000
75,P---0100
75,P31-0400
75,P3330500
75,P3--0250
75,P40-0400
75,P4150500
75,P4170500
75,P50-0400
75,P52-0400
75,P---0150
75,P7--0250
75,P9010500
75,S03-0400
75,S01-0400
75,R---0000
75,R02-0400
75,R1--0250
75,R2330500
75,R4--0250
75,R5010500
75,R5--0250
75,R5220500
75,R6--0250
75,R71-0402
75,N---0060
75,L8334000
75,L82-0300
75,L8--0210
75,L5--0180
75,L56-0300
75,L5134000
75,L45-0300
75,L4--0170
75,L---0070
75,L31-0300
75,L3024000
75,L2404000
75,L22-0300
75,L2--0160
75,L---0060
75,L1324000
75,L0--0150
75,L01-0300
75,L00-0300
75,K51-0300
75,K---0090
76,Y3310500
76,Y34-0400
76,Y32-0400
76,Y2540500
76,Y2520500
76,Y25-0400
76,Y2--0200
76,Y2110520
76,Y2120500
76,Y2030500
76,Y1--0200
76,Y15-0400
76,Y1410520
76,Y1410500
76,Y2560520
76,Y1340500
76,Y1100500
76,Y1000580
76,Y06-0400
76,Y0650500
76,Y0620520
76,Y0610500
76,Y04-0400
76,Y02-0400
76,Y0230560
76,V71-0400
76,V7180500
76,V7130500
76,V7110500
76,V7150500
76,V7150620
76,V5440580
76,V5410500
76,V5410520
76,V50-0400
76,Q---0000
76,Q02-0400
76,Q0--0250
76,Q---0100
76,O---0000
76,O00-0400
76,O02-0400
76,O03-0400
76,O0390690
76,O06-0400
76,O07-0400
76,O0760500
76,O09-0400
76,O1--0250
76,O1270500
76,O14-0430
76,O1--0290
76,O18-0400
76,O2320500
76,O2650500
76,O2--0330
76,O30-0430
76,O30-0400
76,O3050580
76,O31-0400
76,O33-0400
76,O---0100
76,O34-0400
76,O37-0400
76,O43-0400
76,O47-0400
76,O4--0250
76,O49-0430
76,O5--0250
76,O5--0290
76,O5670500
76,O57-0400
76,O58-0400
76,O59-0400
76,O6000970
76,O61-0400
76,O6150500
76,O61-0460
76,O6--0250
76,O65-0430
76,O68-0400
