K27-0300,la Morge
K27-0310,le Bedat
K3--0200,la Sioule
K30-0310,le Sichon
K3074000,le Jolan
K32-0300,le Sioulet
K33-0300,la Bouble
K3464000,la Queune
K36-0300,la Bieudre
K4094000,le Nohain
K4194000,la bras
K42-0300,le Bec d'Able
K43-0310,la Dhuy
K44-0300,l'Ardoux
K51-0300,la Tardes
K53-0300,l'Aumance
K53-0320,l'œil
K56-0300,l'Auron
K6--0240,l'Arnon
K6--0250,la Sauldre
K63-0300,la Petite Sauldre
K65-0310,le Renon
K65-0320,le Nahon
K6814000,la Roumer
K7--0260,l'Indre
L---0060,la Vienne
L---0070,la Creuse
L0--0150,le Taurion
L00-0300,la Combade
L01-0300,la Maulde
L1324000,la Petite Blourde
L2--0160,le Clain
L22-0300,la Vonne
L2404000,la Boivre
L3024000,l'Ozon de Chenevelles
L31-0300,l'Envigne
L4--0170,la Petite Creuse
L45-0300,la Sédelle
L46-0300,la Bouzanne
L5--0180,la Gartempe
L5--0190,l'Anglin
L5134000,la Semme
L56-0300,la Benaize
L63-0300,l'Esves
L8--0210,le Thouet
L82-0300,le Thouaret
L8334000,la Madoire
L92-0300,le Couasnon
M---0060,la Sarthe
M---0090,la Mayenne
M0--0150,l'Huisne
M0124000,la Vaudelle
M0164900,
M02-0300,l'Orne Saosnoise
M0334000,la Corbionne
M05-0300,la Vègre
M0574000,le Palais
M06-0300,l'Erve
M1--0160,le Loir
M1--0161,bras du loir
M10-0300,la Conie
M1034000,l'Ozanne
M1144600,le Boulon
M12-0300,la Braye
M1215500,le Fresnay
M1254000,le Tusson
M14-0300,l'Aune
M3--0180,l'Oudon
M31-0300,la Varenne
M31-0310,l'Egrenne
M32-0310,l'Aron
M33-0300,l'Ernée
M4--0190,la Maine
M5--0200,le Layon
M6354000,le Gesvres
M7--0240,la Sèvre Nantaise
N---0060,la Sèvre Niortaise
N---0120,la Vendée
N2024000,la Ciboule
N3--0160,le Lay
N31-0300,le Petit Lay
O---0000,La Garonne
O---0100,Le Tarn
O---0150,Le Lot
O00-0400,La Pique
O02-0400,Le Ger
O03-0400,L'Arac
O0390690,Le Nert
O06-0400,Le Volp
O07-0400,L'Arize
O0760500,Ruisseau de Montbrun
O09-0400,La Louge
O1--0250,L'Ariège
O1--0290,l'hers
O1270500,Ruisseau de Roques
O14-0430,Le Touyre
O18-0400,La Lèze
O2--0330,La Gimone
O2320500,Ruisseau de la Vendinelle
O2650500,Le Lambon
O30-0400,Le Tarnon
O30-0430,La Mimente
O3050580,Valat de Baumale
O31-0400,La Jonte
O33-0400,La Dourbie
O34-0400,Le Cernon
O37-0400,Le Rance
O4--0250,L'Agout
O43-0400,Le Thoré
O47-0400,Le Dadou
O49-0430,Le Tescou
O5--0250,L'Aveyron
O5--0290,Le Viaur
O5670500,La Seye
O57-0400,La Vère
O58-0400,Rivière la Lère
O59-0400,Le Lemboulas
O6--0250,Le Gers
O6--0290,La Baïse
O6000970,Ruisseau de Cameson
O61-0400,La Barguelonne
O61-0460,La Séoune
O6150500,Rivière de l'Auroue
O6420540,Ruisseau de Bourbon
O65-0430,La Petite Baïse
O6720650,Le Rimbez
O68-0400,L'Osse
O7--0250,La Truyère
O71-0400,La Colagne
O7250500,Boralde Flaujaguèse
O7630500,Ruisseau de l'Epie
O7780500,La Selves
O8--0250,Le Célé
O80-0400,Le Dourdou de Conques
O9--0250,Le Dropt
O9380500,La Vignague
P---0000,La Dordogne
P---0100,La Vézère
P---0150,L'Isle
P06-0400,La Tarentaine
P07-0400,La Diège
P0880500,Le Mars
P1--0290,La Cère
P1580500,Ruisseau du Peyret
P2030500,Le Tolerme
P3--0250,La Corrèze
P31-0400,Le Bradascou
P3330500,La Corrèze de Pradines
P40-0400,L'Elle
P4150500,La Laurence
P4170500,Le Thonac
P50-0400,La Couze
P52-0400,Le Caudeau
P7--0250,La Dronne
P9010500,Le Gestas
Q---0000,L'Adour
Q---0100,Gave de Pau
Q---0150,Gave d'Oloron
Q0--0250,L'Arros
Q02-0400,L'Echez
Q13-0400,Le Gabas
Q23-0400,L'Estampon
Q3--0250,Le Luy
Q7--0250,Le Saison
Q8--0250,La Bidouze
Q90-0400,La Nive d'Arnéguy
R---0000,La Charente
R02-0400,L'Argent-Or
R1--0250,La Bonnieure
R2330500,La Touvre
R4--0250,Le Né
R5--0250,La Seugne
R5010500,Le Pharaon
R5220500,Le Bramerit
R6--0250,La Boutonne
R71-0402,L'Arnoult
S01-0400,La Seudre
S03-0400,La Livenne
S1140500,Jalle de Castelnau
S2--0250,La Grande Leyre
S21-0400,La Petite Leyre
S32-0400,Ruisseau d'Escource
S40-0430,Ruisseau d'Onesse
U---0000,La Saône
U0040500,L'Apance
